,gender,age,year,eyecolor,height,miles,brothers,sisters,computertime,exercise,exercisehours,musiccds,playgames,watchtv
1303,male,20,second,green,73.0,210.0,0,1,10.0,Yes,5.0,50.0,1.0,15.0
36,male,20,third,other,71.0,90.0,1,0,15.0,Yes,4.0,10.0,0.0,1.0
489,male,22,fourth,hazel,75.0,200.0,0,1,1.0,Yes,2.0,150.0,1.0,10.0
1415,male,19,second,brown,72.0,35.0,2,2,20.0,Yes,5.0,100.0,0.0,7.0
616,male,22,fourth,hazel,71.0,15.0,2,1,10.0,Yes,7.0,10.0,0.0,5.0
1501,male,20,second,blue,69.0,40.0,1,1,14.0,Yes,12.0,50.0,7.0,10.0
776,female,19,second,green,67.0,170.0,1,0,4.0,Yes,5.0,30.0,0.0,2.0
1142,female,20,third,brown,66.0,0.0,2,0,2.0,No,0.0,50.0,0.0,10.0
168,female,20,second,hazel,67.0,100.0,2,1,2.5,Yes,0.0,20.0,3.5,15.0
558,male,20,second,brown,70.0,0.0,1,1,10.0,Yes,10.0,50.0,0.0,40.0
657,male,25,other,blue,71.0,37.0,1,3,5.0,No,0.0,25.0,0.0,0.0
1767,female,19,second,blue,70.0,65.0,0,1,20.0,No,0.0,50.0,0.0,10.0
1191,male,21,third,brown,67.0,50.0,0,2,10.0,Yes,4.0,52.0,20.0,12.0
747,male,22,fourth,green,76.0,45.0,3,3,4.0,Yes,4.0,300.0,6.0,5.0
960,female,20,second,brown,64.0,250.0,1,0,15.0,Yes,5.0,100.0,0.0,5.0
756,female,21,third,blue,69.0,98.0,0,3,13.0,Yes,6.0,44.0,0.0,2.5
830,male,21,fourth,blue,71.0,145.0,0,3,2.0,Yes,5.0,15.0,0.0,12.0
980,male,20,second,hazel,73.0,140.0,1,1,10.0,No,0.0,50.0,15.0,30.0
410,male,21,fourth,hazel,70.0,90.0,3,2,10.0,Yes,2.0,4.0,15.0,3.0
1140,female,23,other,blue,64.0,300.0,0,2,20.0,No,0.0,10.0,0.0,8.0
1168,female,18,first,brown,65.0,190.0,4,0,10.0,Yes,5.0,80.0,2.0,10.0
1042,female,20,third,green,68.0,200.0,2,1,10.0,Yes,6.0,46.0,1.0,10.0
1896,male,21,third,brown,74.0,360.0,1,3,6.0,No,0.0,650.0,12.0,3.0
1440,female,19,second,blue,62.0,230.0,2,0,12.0,No,0.0,200.0,0.0,4.0
882,female,19,second,blue,72.0,150.0,2,0,7.0,Yes,12.0,20.0,2.0,10.0
1281,female,18,first,hazel,66.0,200.0,1,1,14.0,Yes,6.0,75.0,2.0,2.0
281,female,19,second,green,70.0,90.0,0,1,10.0,Yes,5.0,300.0,2.0,10.0
1468,male,23,fourth,blue,72.0,1200.0,1,0,18.0,Yes,17.0,40.0,0.0,25.0
1828,male,19,first,brown,70.0,45.0,0,0,8.0,Yes,10.0,50.0,6.0,8.0
1223,male,20,third,blue,74.0,215.0,0,2,3.0,No,0.0,75.0,2.0,17.0
99,female,17,other,brown,67.0,18.0,2,1,10.0,No,0.0,50.0,0.0,5.0
992,female,19,third,blue,64.0,215.0,0,1,5.0,Yes,5.0,30.0,0.0,8.0
1636,female,19,second,brown,67.0,35.0,0,1,10.0,Yes,0.0,50.0,1.0,10.0
1596,female,21,fourth,blue,65.0,60.0,0,1,3.0,Yes,4.0,10.0,0.0,5.0
1659,female,19,second,green,64.0,100.0,3,2,30.0,Yes,2.0,5.0,4.0,2.0
211,male,18,first,brown,71.0,50.0,2,2,8.0,Yes,12.0,75.0,1.0,0.5
104,female,21,third,brown,67.0,220.0,2,1,6.0,Yes,5.0,100.0,0.0,10.0
346,female,18,first,blue,74.0,237.0,0,0,35.0,Yes,6.0,46.0,12.0,28.0
102,male,20,second,blue,71.0,30.0,0,1,15.0,Yes,4.0,200.0,2.0,8.0
641,female,20,third,brown,56.0,165.0,1,3,16.0,No,0.0,80.0,0.0,14.0
1213,male,23,fourth,blue,72.0,25.0,2,1,6.0,No,0.0,30.0,25.0,5.0
963,female,20,third,hazel,65.0,200.0,1,0,3.0,Yes,10.0,5.0,1.0,7.0
888,male,21,third,blue,69.0,185.0,1,0,20.0,Yes,26.0,50.0,2.0,10.0
1545,male,21,third,hazel,67.0,25.0,1,1,12.0,No,0.0,15.0,20.0,20.0
2007,female,24,fourth,brown,59.0,10200.0,1,0,5.0,No,0.0,0.0,2.0,5.0
598,male,19,second,blue,74.0,130.0,2,0,15.0,Yes,4.0,20.0,10.0,10.0
1829,male,27,other,blue,71.0,150.0,1,1,3.0,Yes,4.0,500.0,5.0,8.0
106,male,21,third,brown,69.0,180.0,3,0,15.0,No,0.0,25.0,1.0,10.0
1405,female,21,fourth,green,64.0,150.0,2,2,7.0,No,0.0,25.0,0.0,5.0
1878,female,20,second,green,63.0,1600.0,0,0,15.0,Yes,2.0,20.0,0.0,2.0
914,male,20,second,blue,69.0,136.0,5,0,12.0,Yes,14.0,25.0,5.0,21.0
1862,female,19,second,brown,64.0,30.0,1,1,5.0,Yes,3.0,15.0,1.0,7.0
771,female,18,first,blue,65.0,146.0,4,0,5.0,Yes,8.0,20.0,2.0,20.0
294,male,20,second,blue,78.0,40.0,0,1,7.0,Yes,5.5,50.0,0.0,15.0
19,female,19,second,hazel,63.0,206.0,1,1,10.0,No,0.0,20.0,20.0,15.0
1675,male,22,fourth,brown,73.0,100.0,1,1,10.0,Yes,7.0,100.0,7.0,12.0
794,male,25,fourth,brown,66.0,10000.0,0,1,10.0,Yes,3.0,20.0,3.0,10.0
254,male,19,first,blue,72.0,40.0,2,1,7.0,Yes,4.0,20.0,3.0,1.0
424,male,20,third,hazel,76.0,4500.0,1,0,10.0,Yes,7.0,30.0,10.0,10.0
58,female,21,fourth,green,65.0,305.0,2,3,14.0,Yes,2.0,110.0,2.0,12.0
1098,male,19,first,green,71.0,40.0,1,0,10.0,No,0.0,30.0,10.0,21.0
20,male,20,third,hazel,70.0,184.0,2,0,20.0,No,0.0,40.0,10.0,20.0
1463,male,19,second,green,72.0,40.0,1,1,6.0,Yes,6.0,150.0,0.0,12.0
461,female,19,second,green,58.0,40.0,0,2,4.0,No,0.0,36.0,0.0,5.0
49,male,20,third,hazel,69.0,50.0,2,0,8.0,Yes,2.5,250.0,0.0,5.0
1605,male,20,third,hazel,69.0,180.0,2,0,8.0,Yes,7.0,150.0,0.0,2.0
890,male,19,second,green,68.0,180.0,1,2,2.0,Yes,10.0,50.0,2.0,5.0
1558,female,19,second,blue,70.0,260.0,1,1,21.0,Yes,7.0,10.0,0.0,5.0
1775,male,21,third,hazel,73.0,200.0,0,1,2.0,Yes,15.0,100.0,2.0,7.0
1243,female,19,second,blue,65.0,200.0,1,2,20.0,No,0.0,75.0,1.0,5.0
243,female,19,second,blue,72.0,0.0,1,1,2.0,Yes,7.0,8.0,2.0,20.0
1532,male,20,third,brown,73.0,20.0,0,2,30.0,No,0.0,20.0,2.0,4.0
138,male,19,second,green,72.0,1500.0,1,0,2.0,Yes,3.0,31.0,6.0,16.0
715,female,20,third,green,66.0,215.0,1,0,2.0,Yes,3.5,50.0,2.0,3.0
388,female,19,second,hazel,64.0,350.0,1,1,15.0,Yes,3.0,250.0,0.0,10.0
1711,male,25,other,hazel,70.0,117.0,0,2,12.0,Yes,4.0,0.0,0.0,4.0
462,male,20,third,hazel,72.0,100.0,0,1,40.0,Yes,4.0,200.0,10.0,4.0
1011,male,20,third,blue,73.0,200.0,1,3,10.0,Yes,8.0,75.0,0.0,14.0
1077,female,21,fourth,brown,64.0,60.0,1,0,4.0,Yes,0.0,40.0,0.0,30.0
1074,male,22,fourth,blue,71.0,40.0,0,1,10.0,No,0.0,150.0,0.0,2.0
1047,female,19,second,brown,63.0,182.5,1,0,10.0,Yes,0.0,42.0,6.0,5.0
861,male,20,second,green,73.0,300.0,4,1,4.0,Yes,9.0,1.0,2.0,4.0
1995,female,18,first,brown,67.0,45.0,2,1,4.0,No,0.0,120.0,8.0,6.0
570,male,22,other,brown,66.0,120.0,1,1,2.0,Yes,5.0,50.0,3.0,3.0
1283,female,19,second,blue,72.0,0.0,1,0,5.0,Yes,3.0,54.0,0.0,10.0
285,female,19,second,hazel,65.0,100.0,1,1,10.0,Yes,2.0,30.0,0.25,4.0
1939,female,21,third,hazel,67.0,175.0,1,0,2.0,No,0.0,50.0,0.0,4.0
1346,female,19,first,brown,65.0,227.0,0,1,28.0,No,0.0,100.0,0.0,1.0
988,female,19,second,brown,63.0,0.0,1,2,5.0,Yes,4.0,50.0,1.0,12.0
817,female,20,second,blue,65.0,40.0,0,1,6.0,Yes,3.5,20.0,0.0,6.0
434,male,20,second,hazel,76.0,100.0,1,1,4.0,Yes,5.0,6.0,8.0,16.0
484,male,20,third,blue,70.0,250.0,0,1,7.0,Yes,5.0,35.0,3.0,3.0
60,female,20,second,brown,62.0,220.0,0,0,24.0,Yes,5.0,25.0,0.0,7.0
250,male,20,third,brown,77.0,80.0,0,1,15.0,No,0.0,20.0,30.0,40.0
951,female,18,first,hazel,66.0,220.0,0,1,4.0,No,0.0,50.0,4.0,15.0
1651,male,25,other,hazel,73.0,106.0,0,1,30.0,Yes,4.0,30.0,1.0,50.0
1277,male,18,first,blue,69.0,139.0,1,0,35.0,No,0.0,2.0,3.0,30.0
712,male,21,fourth,hazel,72.0,320.0,0,0,20.0,Yes,6.0,50.0,10.0,10.0
11,female,20,second,blue,70.0,93.0,0,1,15.0,Yes,7.0,60.0,1.0,1.0
819,male,19,third,hazel,69.0,200.0,1,0,1.0,Yes,2.0,40.0,5.0,12.0
228,male,21,third,blue,71.0,35.0,1,1,8.0,No,0.0,25.0,6.0,12.0
1067,female,20,third,green,65.0,45.0,1,0,40.0,No,0.0,75.0,1.0,12.0
565,female,21,fourth,brown,63.0,65.0,2,3,10.0,No,0.0,50.0,5.0,5.0
929,male,50,other,hazel,75.0,1800.0,1,2,40.0,Yes,5.0,25.0,0.0,2.0
1060,female,20,third,green,69.0,35.0,3,2,10.0,Yes,3.0,200.0,0.0,6.0
1498,female,19,second,hazel,66.0,120.0,1,0,12.0,Yes,8.0,100.0,2.0,9.0
1166,female,21,third,brown,65.0,0.0,0,0,30.0,Yes,3.0,20.0,5.0,3.0
